Serial No.,Name of the Project,Project Activity,Name of the Contact Person,Sector,Address Line.1,Address Line.2,Address Line.3,Telephone,Fax,Email
1009,LAUGFS CORPORATION (RUBBER) LTD.,SOLID TYRE,G S SENARATNE,Manufacturing,NO 101,MAYA AVENUE,COLOMBO 06,772991978,2577824,samans@laugfs.lk
1010,LAUGFS ECO SRI LTD.,VEHICLE EMISSION TESTING CENTERS,ATHULA SILVA,Services,"101,","MAYA AVENUE,",COLOMBO 06.,011-5566488,115566477,athula.silva@laugfs.lk
1011,LAUGFS GAS PLC,"LPG STORAGE TERMINAL,BOTTLING PLANT & DISTRIBUTION NETWORK",DAMITH ROSHAN SENARATHMUDALI,Utilities,NO 101,MAYA AVENUE,COLOMBO,011-5566222,011-5577824,damith.roshan@laugfs.lk
1012,LAUGFS LEISURE LTD.,LUXURY HOTEL - 37 ROOMS,MR WASALA BANDARA,Tourism & Leisure,NO.101,MAYA AVENUE,COLOMBO 06,0776913491/0115566416,115577824,wasala.bandara@laugfs.lk
1013,LAUGFS MARITIME SERVICES (PVT) LTD.,PROVIDE INTERNATIONAL SEA CARGO SERVICES,S G V S L RANASINGHE,Services,"101, MAYA AVENUE,",COLOMBO 06,,115566243,115577824,sanjeewar@laugfs.lk
1014,LAVENDISH BEACH RESORT (PVT) LTD.,21 ROOMED TOURIST HOTEL,NIMAL GEEGANAGE -  MANAGING DIRECTOR,Tourism & Leisure,"BEACH HOTEL CAMARAN,","GANAHENA,",UNAWATUNA.,4-381337,4-381337,
1015,LEE HEDGES INVESTMENTS LTD.,MIXED DEVELOPMENT COMPLEX,MRS. SUJANI JAYAWARDENA,Infrastructure,NO 353,GALLE RD.,COLOMBO 03.,112301035,112574636,pplh@leehedges.lk
1016,LEEMA EMBROIDERY (PVT) LTD.,EMBROIDERY SERVICES,W.N.U. FERNANDO,Apparel,NO. 1346/2,"KOTTE RD., WELIKADA",RAJAGIRIYA.,0777-276561,011-2862520,nihal@leemaembroidery.com
1017,LEEMA PRINT (PVT) LTD.,SCREEN PRINTING SERVICES,W N U FERNANDO,Apparel,NO. 1346/2,"KOTTE RD., WELIKADA",RAJAGIRIYA.,"2820295, 0777-276561",2862520,nihal@leemaembroidery.com
1018,LEISURE SPORTS AND RECREATION (PVT) LTD.,HOTEL - 76 ROOMS,DHARSHANI GALLAGE,Tourism & Leisure,LEVEL 7,"NO. 65 C, DHARMAPALA MW.",COLOMBO 07.,2434493,,hotelaccounts2@lsr-srilanka.com
1019,LEISUREWORLD  WATER PARKS (PVT) LTD.,WATER PARK,NIPUNA TISSERA - ACCOUNTANT,Tourism & Leisure,SEETHAWAKA,KALUAGGALA,HANWELLA.,036-2253999,036-2253426,leisureworld@sltnet.lk
1020,LEISUREWORLD  WATER PARKS(PVT)LTD-EXP01,LEISUREWORLD  WATER PARKS (PVT) LTD.-EXP 01,ARUNA GOONETILEKE,Tourism & Leisure,"27,RATNAYAKE MAWATHA,","PELAWATTE,",BATTARAMULLA,071 2735546,4442848,ciyatek@sltnet.lk
1021,LEMASTOTA HYDRO POWER (PVT) LTD.,1.3 MW MINI HYDRO POWER PLANT,SAMPATH SOMARATHNE,Utilities,PARKLAND NO 33,PARK STREET,COLOMBO 02,773444946,117 989800,sampaths@ceylex.com
1022,LEOCH LANKA (PVT) LTD.,LEAD ACID BATTERIES,SUJEEWA LIYANAGE,Manufacturing,NO:71,DENSTON PLACE,COLOMBO 03,011-2576365,011-7394223,liyanage@leoch.com
1023,LESON LTD.,WAREHOUSING COMPLEX,ASANKA AMARAKOON - FINANCE MANAGER,Services,"46/5 ,  NAWAM MW.",COLOMBO 02.,,714272995,2437479,fc@slsc.lk
1024,LETS TRAVEL RESORT (PVT) LTD.,RESORT WITH SPA FACILITIES - 20 ROOMS,M RUSHAN RIZVI,Tourism & Leisure,CP 05 GALADARI HOTEL,"NO. 64, LOTUS RAOD,",COLOMBO 01,112333554,112338328,rushan.rizvi@letstrvaelresort.com
1025,LIBERTY DEVELOPERS (PVT) LTD.,SHOPPING MALL,DHARSHAN JAYADEVA,Infrastructure,"""LIBERTY PLAZA"", 250 - 3/8",R A DE MEL MW.,COLOMBO 03,075 7726111,0112 573111,dharshan@colomboland.com
1026,LILIES INTIMATES LANKA (PVT) LTD.,GARMENT ACCESSORIES,NISHEDA M WANNIARACHCHI,Apparel,"LOT 20, BLOCK B,","BEPZ,",WALGAMA,077 477856,0112 465577,lkac@lilies-holdings.com
1027,LINEA AQUA (PVT) LTD.,"SWIMWEAR,  BEACHWEAR & WATERSHORTS",ANURA SHANTHA LAKSHMAN,Apparel,THANAHENPITIYA ESTATE,GIRINDARA,KAPUGODA.,036-4279600,036-4279699,anural@lineaaqua.com
1028,LINEA AQUA (PVT) LTD. - EXPANSION 1,SWIMWEAR & WATER SHORTS,SRINDA UNAMBOOWE - MANAGING DIRECTOR,Apparel,LINEA AQUA (PVT) LTD.,"THANAHENPITIYA ESTATE, GIRIDARA",KAPUGODA.,036-4279601,036-4279699,sarindau@lineaaqua.com
1029,LION BREWERY (CEYLON) PLC,BEER,VIPULA JAYAWARDENA,Agriculture,NO. 254,COLOMBO RD.,BIYAGAMA.,"7,720,787,312,465,940","2465901, 2465900",vipula@lionbeer.com
1030,LION BREWERY (CEYLON) PLC - EXP. 1,BEER,ANANDA SIRISENA - SENIOR MANAGER (COMM),Agriculture,,,,535585-94,935595-96,
1031,LION BREWERY (CEYLON) PLC -EXP 2,BEER,ANANDA SIRISENA - SENIOR MANAGER  (COMM),Agriculture,,,,2465900,2465901,
1032,LION BREWERY (CEYLON) PLC -EXP 3,FRUIT FLAVOURED TASTE BEER,MR. ANANDA SIRISENA,Agriculture,NO. 61,JANADHIPATHI MW.,COLOMBO 01,2337665,2337685,
1033,LION BREWERY (CEYLON) PLC EXP-05,LION BREWERY(CEYLON)PLC EXPANTION -05,MR.VIPUL JAYAWARDENA,Agriculture,"NO:254, COLOMBO ROAD,",BIYAGAMA,,077 2078731,011 2465901,vipula@lionbeer.com
1034,LION ROYAL RESORTS (PVT) LTD.,98 ROOMED HOTEL,AJITH NAKANDALA,Tourism & Leisure,KASSAPA LION ROCK,DIGAMPATHAHA,KIMBISSA.,066 5677440 - 2,066 5677443,lionroyal@sltnet.lk
1035,LION SIGHT FOREX TRADING LTD.,PROVIDE IT SERVICES & SOLUTIONS FOR INTERNATIONAL MARKET,MR.UPALI KEPPITIPOLA,Knowledge Services,"K/G/2, ELVITIGALA FLATS",COLOMBO 08,,072 7673665,,thosolanka@gmail.com
1036,LISEN LANKA (PVT) LTD.,POLYETHYLENE TERETHTHALATE (PET)  FLAKES,TAO XIANGNI,Manufacturing,NO. 16 & 1/1 16,SULAIMAN AVE.,COLOMBO 05,773857516,,diky1024@163.com
1037,LISEN LANKA (PVT) LTD. - EXP,"WOOD FLOORING, ROOF CEILING & CHILDREN'S FURNITURE",TAD XIANGNI,Manufacturing,"NO. 12/1, ST. MICHAELS",ALFRED HOUSE GARDENS,COLOMBO 03,077 1282539,,lisenlanka@163.com
1038,LISPO (PVT) LTD.,SPORTS & ALLIED GOODS,B A C PRIYANGIKA,Manufacturing,PHASE III,K.E.P.Z,KATUNAYAKE.,"2253622 , 2253386",2252119,priyangika@lispo.lk
1039,LITRO GAS TERMINAL LANKA (PVT) LTD.,TERMINAL FOR STORAGE OF LP-GAS,MUDITHA  THAMANAGAMA--FINANCIAL  CONTROL,Utilities,"267,UNION PLACE,",,COLOMBO2.,2581131 EXE - 232,2327648,
1040,LITTLE SMILE ORGANIC (PVT) LTD.,"SPICES, FRUITS & VEGETABLES",SHIRAN SILVA,Agriculture,DIKKAPITIYA ESTATE,LAMASTHOTA,NIKAPOTHA.,057-2257768,057-2257768,sanjayaibs@gmail.com
1041,LOGILINK (PVT) LTD.,"IMP. DE-CONSOLIDATION, EXP. CONSOLIDATION & VALUE ADDED SER",RANJITH PRITHISINGHE-FINANCE MANAGER,Services,775/5,NEGOMBO RD.,MABOLE,2931127,2931138,ranjith@aitkenspence.lk
1042,LOGISTICS INTERNATIONAL LTD.,CONTAINER REPAIRS & MAINTAIN.,MR.PRASANNA SAMARASINGHE,Services,"309/15 , NEGOMBO ROAD.",WELISARA.,,112228224,112239645,info@lil-lk.com
1043,LOGISTICS PARK (PVT) LTD.,WAREHOUSE,NISHAN HEWAGAMAGE,Services,LOGISTICS PARK (PVT) LTD,"NO,390,","AVISSAWELLA ROAD,",0772 222181,011 4645312,nishanh@expofreight.com
1044,LOGIWIZ LTD.,WARE HOUSING COMPLEX,SUJAN RAJARATNE - FINANCIAL CONTROLLER,Services,"408 A , NUNGAMUGODA",KELANIYA.,,"4838826,4838800-826",114838850,sujan.rajaratne@logiwiz.com
1045,LOGIWIZ LTD. - EXPANSION,WAREHOUSE,BINUPA LIYANAGE,Services,LOGIWIZ LTD.,"NO. 408 A, NUNGAMUGODA",KELANIYA,4838801,4838850,binupa.liyanage@logiwiz.com
1046,LOTUS HYDRO POWER PLC,ELECTRICAL POWER - 1.6 MW,DISNA.P. LOKUGALAPPATHTHI-MANAGER-FINANC,Utilities,"NO 168,",NEGOMBO ROAD,PELIYAGODA,"1,151,175,800,772,530,000",011-7990019,disna@lotusreenergy.com
1047,LOTUS PARK HOTEL (PVT) LTD.,HOTEL - 30 ROOMS,R RATHAKRISHNAN - MANAGING DIRECTOR,Tourism & Leisure,LOTUS PARK HOTEL,TRINCOMALEE.,,026-2225327/28/2225250,026-2224566,lotuspark@sltnet.lk
1048,LOWER KOTMALE OYA HYDRO POWER (PVT) LTD.,4MW MINI HYDRO POWER PLANT,MAFAZ ANSAR,Utilities,"LEVEL 4, ACCESS TOWER","NO. 278, UNION PLACE",,4760000,4760076,mafazma@vidullanka.com
1049,LUCKY IND. LTD.,GARMENTS,A. A. M. YOUSUF - PARTNER,Apparel,NO. 3,MILAGRIYA AVE,COLOMBO 04,4-513111,4-513100,yousuf@lucky.lk
1050,LUCKY IND. LTD./MIRIJJAWILA,GARMENTS,,Apparel,,,,,,
1051,LUMIERE TEXTILES LTD.,"DYED, FINISHED & PRINTED FABRIC",DILEEPA SAMPATH PANAPITIYA,Apparel,LOT 15,"BLOCK A, B E P.Z",MALWANA,77029440,011 7763535,dileepa@lumieretl.com
1052,LYDIE'S DIAMONDS (PVT) LTD.,CUTTING & POLISHING DIAMONDS,MS. AZRANA - SECRETARY,Manufacturing,NO. 23 1ST CROSS LANE,OFF TEMPLERS RD.,MOUNT LAVINIA.,2331903,2331903,lydies@sltnet.lk
1053,M G APPAREL (PVT) LTD.,READYMADE GARMENTS,NIMAL JAYAWARDANE,Apparel,FACTORY LOT A O,SEETHAWAKA INDUSTRIAL PARK,AVISSAWELLA,"071 2753995, 077 3834333",036 2231869,rnimal@concord.lk
1054,M J F BEVERAGES (PVT) LTD.,LIQUID TEA CONCENTRATE,R.N.MALINGA,Manufacturing,C/O. MJF GROUP,"111, NEGOMBO RD.",PELIYAGODA.,"4822000, 4822318",4822001,info@dilmahtea.com
1055,M.D.K.HEALTH CARE CENTRE AND HOSPITAL P.,HOSPITAL,MR. M. D. P. S. KULARATHNA,Infrastructure,NO. 149,ANGURUWATHOTA ROAD,HORANA,071-2761166,034-2267999,mdpsk@yahoo.com
1056,M.R.C. ASSOCIATES GARMENTS LTD.,GARMENTS,N.A. RANASINGHE-FINANCE CONTROLLER,Apparel,NO. 125,DEHIWALA  RD.,BORALESGAMUWA.,7519800-9,2519809,shamenda@mrc.lk
1057,M.R.C. ASSOCIATES GARMENTS-BORALESGAMUWA,GARMENTS,MR. SHAMENDA FERNANDO,Apparel,NO. 125,DEHIWALA RD.,BORALESGAMUWA,"2519800-8,5575575",2519809,shamenda@mrc.lk
1058,M.R.C. EMBROIDERY (PVT) LTD.,EMBROIDERY SERVICES,SHAMENDRA  FERNANDO,Apparel,"NO. 125 , DEHIWELA RD.",BORALESGAMUWA.,,"2519800-9,2519809",2519809,shamenda@mrc.lk
1059,M.S.A. SHAMSUDEEN DEVELOPMENT & REALTY,MODERN OFFICE COMPLEX,M K W S DE SILVA - ACCOUNTANT,Infrastructure,,,,"072-2233788,2733085",2739519,
1060,M.Z.S. HANDLOOMS (PVT) LTD.,"HANDLOOM TEX. & NON TRADI.PROD,MFG TEA STICKS",W. P. J. P. MENDIS,Manufacturing,"564,GANGARAMA RD.",WERAHERA,BORALESGAMUWA.,077 3557098,2509953,prasanna.mendis@bistrotea.com
1061,MAA OYA HYDRO POWER (PVT) LTD.,2MW MINI HYDRO POWER PLANT,W.A.S. NISHADI,Utilities,"105/1, MADUPITIYA RD,",MAHAWILA,PANADURA,382242207,382234025,finance@naturub.com
1062,MAALU MAALU PASSEKUDAH (PVT) LTD.,HOLIDAY RESORT - 20 ROOMS,C J WICKRAMASINGHE,Tourism & Leisure,"LEVEL 12-02, EAST TOWER","WORLD TRADE CENTER, ECHELON SQUARE",COLOMBO 01,4706400-4,2399378,cdctrv@connaissance.lk
1063,MACKSONS PAINT IND. (PVT) LTD.,"DECORATIVE PAINTS,UNDERTAKE INDIRECT EXPORTS",SAJEEWA KODIKARA,Manufacturing,"75/1,WATALPOLA ROAD,",HENAMULLA,PANADURA,717557617,0115-550268,sajeewa@multilac.com
1064,MACKSONS PROPERTIES (PVT) LTD.,City Hotel,SAMAN FONSEKA,Tourism & Leisure,NO. 351,GALLE RD.,MOUNT LAVINIA,077 3626729,011 2710067,saman54.fonseka@gmail.com
1065,MACKWOODS I T (PVT) LTD.,COMPUTER SOFTWARE,F L FONSEKA - DIRECTOR,Knowledge Services,,,,2697974,2691445,mackwoods@sltnet.lk
1066,MACSON MESH INDUSTRIES (PVT) LTD.,WIRE BASED PRODUCTS - RELOCATION MACSON MESH IND. (PVT) LTD.,MAHMOOD JEHAD MOHAMED ARIFF,Manufacturing,NO. 304,DEANS RD.,COLOMBO 10,7437140,7437139,jazeem@slt.lk
1067,MACSON MESH INDUSTRIES (PVT) LTD. - EXP,WIRE BASED PRODUCTS - GABION,JEHAD ARIFF,Manufacturing,NO.304,DEANS RD.,COLOMBO 10,7437140,7437139,info@macsonmesh.com
1068,MADULKELLE HOTEL AND LODGES (PVT) LTD.,TENTED ECO LODGE - 20 ROOMS,RALPH WESSELS,Tourism & Leisure,UPPER HATHALE ESTATE,MADULKELLE,KANDY,714958101,,info@madulkelle.com
1069,MAGA DEVELOPMENTS LANKA (PVT) LTD.,APARTMENTS,R.B. WASANTHA KUMARA - ACCOUNTANT,Infrastructure,"NO. 200, NAWALA RD.",NARAHENPITA.,COLOMBO 05.,2808835-44,2808846-7,wasantha@maga.lk
1070,MAGAL GANGA POWER COMPANY (PVT) LTD.,2.3 MW MINI HYDRO POWER PLANT,MR. FIRDOWSY ISMAIL,Utilities,"153,","NAWALA ROAD,",NARAHENPITA.,0114513470-2,4513470-2,firdowsy@ecopower.lk
1071,MAGI ENTERPRISES LANKA (PVT) LTD.,GARMENTS,JEEWAKA RADDALGODA,Apparel,"8/4, SRI JINARATHNA MW.",RATMALANA.,,703229911,362255185,jeewaka.raddalgoda@magilanka.com
1072,MAHAWELI COCONUT PLANTATIONS LTD.,COCONUT & CASH CROPS,MRS. SAUNDARIE PIETERSZ,Agriculture,MAHAWELI COCONUT PLANTATIONS LTD.,"NO. 1/82, KIMBULAPITIYA RD.,","BOLAWALANA, NEGOMBO",0314924553;  0770028361,031-2233304,mcpl@sltnet.lk
1073,MAINETTECH LANKA (PVT) LTD.,"HANGERS & PLASTIC ACCESSORIES, IMPORT & RECYCLE USED HANGERS",J E A  PERUMAL - MANAGING DIRECTOR,Manufacturing,"NO. 84 , ANANDA RAJAKARUNA MW.",COLOMBO 10.,,4653300,2682338,jperumal@mainettech.com
1074,MAINLAND PROPERTY DEVELOPERS (PVT) LTD.,RESIDENTIAL APARTMENTS,K THIVAKAR-MANAGING DIRECTOR,Infrastructure,G R S CONSULTANTS (PVT) LTD,"NO. 103, SEA STREET",COLOMBO 11.,2367043,2366050,
1075,MAJAPAHIT (PVT) LTD.,LUXURY BOUTIQUE HOTEL - 5 ROOMS,K K K WIJESEKERA - PROJECT MANAGER,Tourism & Leisure,"NO.145/2 , HUMES RD.",GALLE.,,773229221,091 2223113,k.k.k.wijesekera@yahoo.com
1076,MAJESTY NATURAL FOODS & CHEMICALS EXP P.,"PECTIN, FRUIT JUICE",K T D R SUPUN,Manufacturing,NO 334/C,DAMBUKANDA,DOMPE,077-6490711,112919115,supun.jayarathne@yahoo.com
1077,MALWANA SPRINGS (PVT) LTD.,"ICE CUBES, BOTTLED WATER & PROVIDE COLD STORAGE FACILITY",MR. J A HANIFFA,Manufacturing,NO. 102,UNION PLACE,COLOMBO 02,2951951,2437616,accounts@frosty.lk
1078,MANCHESTER PLASTICS (PVT) LTD., POLYTHENE BAGS,K. MAHESWARAN,Manufacturing,"NO. 42, 7TH LANE",BLOEMENDHAL RD.,COLOMBO 13,"0777 760446, 2424850",2438243,akshayam@sltnet.lk
1079,MANDARA RESORTS (PVT) LTD.,LUXURY HOTEL - 30 ROOMS,S C K PALIHAWADANA.,Tourism & Leisure,NO. 9/4,STATION RD.,MAHARAGAMA,2506078/9,114542708,md_mandara@sltnet.lk
1080,MANELWALA HYDROPOWER (PVT) LTD.,3.75 MW MINI HYDRO POWER GENERATION PLANT,SAMEERA GUNAWARDENA - ACCOUNTANT,Utilities,3RD FLOOR,"NO 281, R.A. DE MEL MAWATHA",COLOMBO 03,4342007,4209519,sameera@panasianpower.com
1081,MARANGONI INDUSTRIAL TYRES LANKA P .L., SOLID TYRES & RUBBER COMPOUND,NILMINI HERATH - ADMINISTRATIVE MANAGER,Manufacturing,"LOT 10 , BLOCK B",B.E.P.Z.,BIYAGAMA,"24,873,260,772,224,200",247327,n.herath@marangoniindustrialtyres.com
1082,MARAWILA RESORTS PLC,REFURBISHMENT OF CLUB PALM BAY HOTEL - 250 ROOMS,T THEYAGAMURTHI,Tourism & Leisure,"NO. 8, 1/3, YORK ARCADE BLDG.",LEYDEN BASTIAN RD.,COLOMBO 01,5367283,5370735,yorkhotels@hotmail.com
1083,MARSYLKA MFG. LANKA (PVT) LTD.,GARMENTS,K K R SURANGA,Apparel,PLOT NO 10,E.P.Z,POLGAHAWELA,037-4944371-3,037-4944374,suranga@marsylka.lk
1084,MAS ACTIVE (PVT) LTD.,KNITTED BODYWEAR,IMALKA UPENDRA - MANAGER COMMERCIAL,Apparel,"LOT NO 89A, PHASE 1, BEPZ",BIYAGAMA,,"7,734,979,180,114,760,000",114762798,imalkak@masholdings.com
1085,MAS ACTIVE (PVT) LTD. - EXP 2,SPORTSWEAR,FADHIL JIFFRY,Apparel,"10TH FLOOR, HEMAS HOUSE","75, BRAYBROOKE PLACE",COLOMBO 02,077 7670727,,
1086,MAS ACTIVE (PVT) LTD. - EXP 3,GARMENTS,JOHN DE NIESE,Apparel,"10TH FLOOR, HEMAS HOUSE","NO. 75, BRAYBROOKE PLACE",COLOMBO 02,0777 712134,,
1087,MAS ACTIVE (PVT) LTD. - EXP 4,GARMENTS,JOHN DE NIESE,Apparel,MAS ACTIVE (PVT) LTD.,"2ND FLOOR, MCLARENCE BLDG.,NO. 123","BAUDHALOKA MW., COLOMBO 04",0777 712134,,
1088,MAS ACTIVE (PVT) LTD. - EXP 6,GARMENTS,SURANGA NANAYAKKARA,Apparel,MAS ACTIVE (PVT) LTD.,"NO. 532/3, GALLE RD.",COLOMBO 03,0777 369756,,
1089,MAS ACTIVE TRADING (PVT) LTD.,EXPORT TRADING HOUSE,DANUSHKA RATHNAYAKE,Apparel,NO. 231,NAWALA ROAD,NUGEGODA,4762200,4762222,DanushkaR@masholdings.com
1090,MAS BRAND PROTECTION UNIT (PVT) LTD.,BRAND PROTECTION UNIT,MR.ANANDA WELIKALA  - FINANCE MANAGER,Apparel,NO. 275,KALDEMULLA,MORATUWA.,"0772 755030,011-4942647",4216688,anandawe@masholdings.com
1091,MAS BRANDS HOLDINGS (PVT) LTD.,REGIONAL OPERATING HEADQUATER COMPANY,AMINDHA DE MEL,Services,"NO.532/3,","SIRIKOTHA LANE,",COLOMBO 03.,114534720,,
1092,MAS CAPITAL (PVT) LTD.,MANAGING THE OFFSHORE MFG.COMP,INDIKA ABEYSIRI,Services,10TH FLOOR,AITKEN SPENCE TOWER,"315, VAUXHALL STREET","4-796456,074796451",4-796481,indikaAb@masholddings.com
1093,MAS FABRIC PARK PVT LTD.,INFRA.  DEV. & MANAGEMENT CO.  AT THULHIRIYA TEX. PROC.,MR.YASANTH  PERERA - FINANCE MANAGER,Apparel,MAS FABRIC PARK,KURUNEGALA ROAD,THULHIRIYA,773402385,372277081,yasanathP@masholdings.com
1094,MAS FABRICS (PVT) LTD.,FOOTWEAR COMPONENTS IN KNITTED & OTHER FORMS,MR. ROSHAN LIYANAGE   -  FINANCE MANAGER,Apparel,"10TH FLOOR, AITKEN SPENCE TOWER II","315, VAUXHALL ST.",COLOMBO 02,"077-7696659,035-4679700",114796481,roshanl@masholdings.com
1095,MAS HOLDINGS (PVT) LTD.,REGIONAL OPERATING HEADQUARTER COMPANY,RAJITHA JAYASURIYA,Services,"10TH FLOOR,","AITKEN SPENCE BUILDING TOWER II,","NO. 315, VAUXHALL STREET, COLOMBO 02.",114796444,114796481,RajithaJ@masholdings.com
1096,MAS INNOVATION (PVT) LTD.,"DEVELOP SOLUTIONS,DESIGNS,NEW PROD.&SAMPLES FOR APPAREL IND",RANIL VITARANA,Services,LOT 14 ZONE (1),E.P.Z.,BIYAGAMA,777385989,4768010,ranilv@masholdings.com
1097,MAS INNOVATION HOLDINGS (PVT) LTD.,REGIONAL OPERATING HEADQUARTER COMPANY,RAJITHA JAYASURIYA,Services,"10TH FLOOR, AITKEN SPENCE BUILDING,","TOWER 11, NO. 315, VAUXHALL STREET,",COLOMBO 02.,114796444,,RajithaJ@masholdings.com
1098,MAS INTIMATES (PVT) LTD.,"TRADING HOUSE, EXPORT NON TRADITIONAL ITEMS",MS.YASOJA WERAGODA,Apparel,"7TH LANE,  OFF BORUPANA ROAD","KANDAWALAWATTA, KANDAWALA",RATHMALANA.,011-4207930,038-2235510,yasojaw@masholdings.com
1099,MAS INVESTMENTS (PVT) LTD.,REGIONAL HEADQUARTERS COMPANY,RUSIRU THIWANKA,Services,"315, 10TH FLOOR, AITKEN SPENCE TOWER 11",VAUXHALL STREET,,114796426,114796481,rusirut@masholdings.com
1100,MAS LEGATO (PVT) LTD.,BPO SERVICES RELATED TO FINANCIAL AND ACCOUNTING ACTIVITIES.,MS SHIROMI RAJENDRA,Knowledge Services,"MAS CAPITAL (PVT) LTD, 10TH FLOOR","AITKEN SPENCE TOWER II, 315","VAUXHALL ST., COLOMBO 02",011 4769444,011 4769444,shiromir@masholdings.com
1101,MASTER APPARELS (PVT) LTD.,GARMENTS,A A M  YOUSUF - DIRECTOR,Apparel,NO. 3,MILAGIRIYA AVE.,COLOMBO 04.,4513111,4513100,lucky@eureka.lk
1102,MASTER DIVERS (PVT) LTD.,MARINE & UNDERWATER SERVICES,M FAREEN SHABDEEN-ACCOUNTANT,Services,MARITIME CENTRE,"234/2, GALLE RD.",COLOMBO 03.,2470666,2470668,fareens@lankacom.net
1103,MASTER WOVENLANKA LABEL (PVT) LTD.,WOVEN AND PRINTED LABEL,KELLY YUZARLY SADELI - DIRECTOR,Apparel,NO. 17,CONDRAD PREMATHIRATHNA MW.,SEEDUWA.,"2260266,0777-590882",2260267,kelly@brilliant.lk
1104,MATH HYDRO POWER (PVT) LTD.,5 MW MINI HYDRO POWER PLANT,CHAMANTHI PERERA,Utilities,MATH HYDRO POWER (PVT) LTD.,"61/9, DHARMAPALA MW.",COLOMBO 03,112507324,2590847,chamanthi@pantak.lk
1105,MAZARIN (PVT) LTD.,DEVELOP SOFTWARE,DEVIKA WIJERATNE,Knowledge Services,"19/3, RACE COURSE AVENUE",COLOMBO 7,,2681107,2687689,dewi@mazarin.lk
1106,MBC NETWORKS (PVT) LTD.,RADIO STATION,CHRISHAN SILVA,Utilities,NO. 45/3,BRAYBROOKE ST.,COLOMBO 2.,94712211530,5792712,chrishans@mbc.maharaja.lk
1107,MC CURRIE GREEN FOODS (PVT) LTD.,GROW & PROCESS FRUITS & VEGETABLE,ROSY MENDIS-ACCOUNTS MANAGER,Agriculture,LANKA SPICE (PVT) LTD,"MAKUMBURA, PANNIPITIYA",,773507492,2843034,exports@mccurrie.net
1108,MCCALLUM NURSERIES GLOBAL (PVT) LTD.,GROW FOLIAGE,MR. THUSHARA WIJESINGHE,Agriculture,"NO. 36/A, THEHENAWATTE,",DEMALAGAMA,KERAGALA,"033-2258321,","033-2258321,  072-7873043",nursery@mccallum.lk
1109,MCOCEAN PROPERTY DEVELOPMENT  LTD.,OFFICE COMPLEX,NISANSALA SILVA - ACCOUNTANT,Infrastructure,"284 , VAUXHALL ST.",COLOMBO 02.,,4799111,4717769,nisansala@mclarens.lk
1110,MELANKA POWER MORAKETIYA (PRIVATE) LTD,3.8 MW MINI HYDRO POWER PLANT,L.A.L R HEWAGAMA,Utilities,NO. 334,T B JAYAH MW.,COLOMBO 10,2697151- 6/077-3843983,2699029,lalith@windforce.lk
1111,MELBOURNE METAL (PVT) LTD.,IRON BARS & TOR STEEL,MOHAMED HASSANDEEN,Manufacturing,NO. 411,NEGAMBO RD.,WATTALA.,011-4379060,011-2230153,
1112,MELWIRE LANKA (PVT) LTD.,STEEL PRODUCTS USING BILLETS,P BARATHAMANICKAM,Manufacturing,NO 30-2/7 ABDUL JABBAR MW,COLOMBO 12,,0112 473905,0112 399805,marketing@melwire.com
1113,MELWIRE ROLLING (PVT) LTD.,IRON & STEEL PRODUCTS,P BHARATHAMANICKAM,Manufacturing,NO. 30 2/7,ABDUL JABBAR MW.,COLOMBO 12.,2473905,2399805,marketting@melwire.com
1114,MELWIRE ROLLING (PVT) LTD. - EXP,"QST STEEL BAR, MS COIL, CHANNEL IRON & MS FLAT",P DEVARAJ,Manufacturing,"NO. 21, TEMPLE RD.",EKALA,JA-ELA,0777 348136,112229878,raju@melwire.com
1115,MERBOK MDF LANKA (PVT) LTD.,"MDF STANDARD , MDF HMR",TYRONNE RODRIGO,Manufacturing,P.O.BOX 12,HORANA.,,034-2255502-5,034 2255504,tyronne.sl@merbok.com
1116,MERCANTILE EMERALD SHIPPING (PVT) LTD.,INT'L SEA CARGO OPERATION SERVICES,H.A.R.K. WICKRAMATILEKA - CHAIRMAN,Services,NO. 108,ALUTHMAWATHA RD.,COLOMBO 15.,011-4489914,011-4489999,ranjithw@mercmarine.net
1117,MERCANTILE SEAMEN TRAINING INSTITUTE LTD,TRAINING INSTITUTE FOR SKILL DEVELOPMENT & VOCATIONAL TRAIN,CAPT. ROHAN CODIPILLY,Knowledge Services,NO. 441,K CYRIL C PERERA MW.,COLOMBO 13,2385792,2385796,rohan.c@mercmarine.net
1118,METAL COMPONENTS SERVICES (PVT) LTD.,METAL PARTS,W.A. M. N. FERNANDO,Manufacturing,METAL COMPONENTS SERVICES (PVT) LTD.,"SPUR ROAD 3, PHASE 1, KEPZ",KATUNAYAKE,772134541,112252630,malsha.f@mcslanka.com
1119,METATECHNO LANKA COMPANY (PVT) LTD.,COMPUTER SOFTWARE,L L R HARSHANI,Knowledge Services,"LEVEL 06, ""MILLENNIUM HOUSE""","46/58, NAWAM MAWATHA",COLOMBO 02,2304440,2304441,lukuge.harshani@metalanka.com
1120,METRIC PRODUCTS (PVT) LTD.,"UNDER WIRES,MOLDED PADS,BONGERS,EYE MASKS,TRAVEL SLIPPERS..",THUSITHA KUMARA WICKRAMARACHCHI,Apparel,"WENIWELKOLA ,",POLGASOWITA,,2704202,2704203,lakmini@metric-products.com
